Source Titles	records	% of 1289
DECISION SUPPORT SYSTEMS	5	0.388
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE	5	0.388
FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS	5	0.388
IEEE CONGRESS ON EVOLUTIONARY COMPUTATION	5	0.388
IEEE INTELLIGENT SYSTEMS	5	0.388
INTERNATIONAL CONFERENCE ON HANDWRITING RECOGNITION	5	0.388
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE	5	0.388
MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES PT III	5	0.388
NEURAL NETWORKS	5	0.388
PROCEEDINGS 2018 13TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE GESTURE RECOGNITION FG 2018	5	0.388
PROCEEDINGS OF THE 2014 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	5	0.388
2011 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION ICCV	4	0.310
2013 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION ICCV	4	0.310
2013 IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS	4	0.310
2016 IEEE 28TH INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE ICTAI 2016	4	0.310
2016 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	4	0.310
2017 12TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION FG 2017	4	0.310
2017 IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS	4	0.310
AAMAS 17 PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS	4	0.310
ADAPTIVE BEHAVIOR	4	0.310
COMPUTER VISION ECCV 2016 WORKSHOPS PT III	4	0.310
IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS	4	0.310
IET COMPUTER VISION	4	0.310
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH	4	0.310
MACHINE VISION AND APPLICATIONS	4	0.310
NEURAL COMPUTATION	4	0.310
PROCEEDINGS 2017 4TH IAPR ASIAN CONFERENCE ON PATTERN RECOGNITION ACPR	4	0.310
PROCEEDINGS 2018 16TH INTERNATIONAL CONFERENCE ON FRONTIERS IN HANDWRITING RECOGNITION ICFHR	4	0.310
PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION APPLICATIONS AND METHODS ICPRAM 2018	4	0.310
PROCEEDINGS OF THE TWENTY FOURTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE AAAI 10	4	0.310
2011 23RD IEEE INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE ICTAI 2011	3	0.233
2011 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOPS ICCV WORKSHOPS	3	0.233
2011 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	3	0.233
2013 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	3	0.233
2014 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS SMC	3	0.233
2015 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	3	0.233
2015 IEEE INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOP ICDMW	3	0.233
2015 INTERNATIONAL CONFERENCE ON BIOMETRICS ICB	3	0.233
2015 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	3	0.233
2016 15TH IEEE INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS ICMLA 2016	3	0.233
2016 IEEE 16TH INTERNATIONAL CONFERENCE ON DATA MINING ICDM	3	0.233
2016 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION CEC	3	0.233
2017 IEEE 29TH INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE ICTAI 2017	3	0.233
2017 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS CVPRW	3	0.233
2017 IEEE INTERNATIONAL CONFERENCE ON BIG DATA BIG DATA	3	0.233
2017 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE SSCI	3	0.233
2017 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION WACV 2017	3	0.233
2018 IEEE 30TH INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE ICTAI	3	0.233
2018 IEEE ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING ASONAM	3	0.233
21ST INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE IJCAI 09 PROCEEDINGS	3	0.233
ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 29 NIPS 2016	3	0.233
APPLIED INTELLIGENCE	3	0.233
APPLIED SOFT COMPUTING	3	0.233
COGNITIVE SYSTEMS RESEARCH	3	0.233
CONFERENCE ON TECHNOLOGIES AND APPLICATIONS OF ARTIFICIAL INTELLIGENCE	3	0.233
DATA MINING AND KNOWLEDGE DISCOVERY	3	0.233
IEEE INTERNATIONAL CONFERENCE ON BIG DATA	3	0.233
IEEE INTERNATIONAL WORKSHOP ON MACHINE LEARNING FOR SIGNAL PROCESSING	3	0.233
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING	3	0.233
IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS	3	0.233
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	3	0.233
IEEE TRANSACTIONS ON HUMAN MACHINE SYSTEMS	3	0.233
IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY	3	0.233
INFORMATION FUSION	3	0.233
INTERNATIONAL CONFERENCE ON BIOMETRICS	3	0.233
INTERNATIONAL CONFERENCE ON IMAGE PROCESSING THEORY TOOLS AND APPLICATIONS	3	0.233
INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL	3	0.233
JOURNAL OF ADVANCED COMPUTATIONAL INTELLIGENCE AND INTELLIGENT INFORMATICS	3	0.233
JOURNAL OF INTELLIGENT FUZZY SYSTEMS	3	0.233
MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES PT II	3	0.233
PROCEEDINGS 2017 INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND COMPUTATIONAL INTELLIGENCE CSCI	3	0.233
PROCEEDINGS OF 2016 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE SSCI	3	0.233
PROCEEDINGS OF THE 12TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS VISIGRAPP 2017 VOL 4	3	0.233
PROCEEDINGS OF THE ELEVENTH ACM CONFERENCE ON RECOMMENDER SYSTEMS RECSYS 17	3	0.233
SOFT COMPUTING	3	0.233
STATISTICAL ANALYSIS AND DATA MINING	3	0.233
WSDM 18 PROCEEDINGS OF THE ELEVENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING	3	0.233
12TH ACM CONFERENCE ON RECOMMENDER SYSTEMS RECSYS	2	0.155
12TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOPS ICDMW 2012	2	0.155
2010 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	2	0.155
2010 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN 2010	2	0.155
2011 FIRST ASIAN CONFERENCE ON PATTERN RECOGNITION ACPR	2	0.155
2012 21ST INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION ICPR 2012	2	0.155
2012 IEEE 24TH INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE ICTAI 2012 VOL 1	2	0.155
2012 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	2	0.155
2012 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS IJCNN	2	0.155
2013 10TH INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY FSKD	2	0.155
2014 13TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS ICMLA	2	0.155
2014 IEEE INTERNATIONAL CONFERENCE ON DATA MINING ICDM	2	0.155
2014 IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS 2014	2	0.155
2015 10TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS AND KNOWLEDGE ENGINEERING ISKE	2	0.155
2015 IEEE INTERNATIONAL CONFERENCE ON DATA MINING ICDM	2	0.155
2015 IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS IROS	2	0.155
2016 13TH INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS AND AMBIENT INTELLIGENCE URAI	2	0.155
2017 13TH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY ICNC FSKD	2	0.155
2017 14TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE AVSS	2	0.155
2017 17TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING ICDM	2	0.155
2017 28TH IEEE INTELLIGENT VEHICLES SYMPOSIUM IV 2017	2	0.155
2017 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ IEEE	2	0.155
2017 IEEE INTERNATIONAL JOINT CONFERENCE ON BIOMETRICS IJCB	2	0.155
2017 INTERNATIONAL CONFERENCE ON ASIAN LANGUAGE PROCESSING IALP	2	0.155
2018 7TH BRAZILIAN CONFERENCE ON INTELLIGENT SYSTEMS BRACIS	2	0.155
2018 8TH INTERNATIONAL CONFERENCE ON COMPUTER AND KNOWLEDGE ENGINEERING ICCKE	2	0.155
2018 IEEE LATIN AMERICAN CONFERENCE ON COMPUTATIONAL INTELLIGENCE LA CCI	2	0.155
2018 IEEE WIC ACM INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE WI 2018	2	0.155
