Source Titles	records	% of 1289
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON DOCUMENT ANALYSIS AND RECOGNITION	2	0.155
STUDIES IN COMPUTATIONAL INTELLIGENCE	2	0.155
TENTH INTERNATIONAL CONFERENCE ON MACHINE VISION ICMV 2017	2	0.155
VIPIMAGE 2017	2	0.155
WORLD SCIENTIFIC PROCEEDINGS SERIES ON COMPUTER ENGINEERING AND INFORMATION SCIENCE	2	0.155
12TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING ICDM 2012	1	0.078
13TH INTERNATIONAL CONFERENCE ON THEORY AND APPLICATION OF FUZZY SYSTEMS AND SOFT COMPUTING ICAFS 2018	1	0.078
14TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION INTERSPEECH 2013 VOLS 1 5	1	0.078
2009 IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND INTELLIGENT SYSTEMS PROCEEDINGS VOL 1	1	0.078
2009 IEEE RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS	1	0.078
2009 SECOND INTERNATIONAL CONFERENCE ON MACHINE VISION PROCEEDINGS ICMV 2009	1	0.078
2011 IEEE CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND GAMES CIG	1	0.078
2011 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	1	0.078
2011 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS SMC	1	0.078
2011 IEEE INTERNATIONAL WORKSHOP ON MACHINE LEARNING FOR SIGNAL PROCESSING MLSP	1	0.078
2012 11TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS ICMLA 2012 VOL 1	1	0.078
2012 4TH INTERNATIONAL CONFERENCE ON INTELLIGENT HUMAN MACHINE SYSTEMS AND CYBERNETICS IHMSC VOL 2	1	0.078
2012 CONFERENCE ON TECHNOLOGIES AND APPLICATIONS OF ARTIFICIAL INTELLIGENCE TAAI	1	0.078
2012 IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND CYBERNETICS CYBERNETICSCOM	1	0.078
2012 IEEE INTERNATIONAL WORKSHOP ON MACHINE LEARNING FOR SIGNAL PROCESSING MLSP	1	0.078
2012 IEEE VISUAL COMMUNICATIONS AND IMAGE PROCESSING VCIP	1	0.078
2013 10TH IEEE INTERNATIONAL CONFERENCE AND WORKSHOPS ON AUTOMATIC FACE AND GESTURE RECOGNITION FG	1	0.078
2013 12TH INTERNATIONAL CONFERENCE ON DOCUMENT ANALYSIS AND RECOGNITION ICDAR	1	0.078
2013 13TH UK WORKSHOP ON COMPUTATIONAL INTELLIGENCE UKCI	1	0.078
2013 FOURTH NATIONAL CONFERENCE ON COMPUTER VISION PATTERN RECOGNITION IMAGE PROCESSING AND GRAPHICS NCVPRIPG	1	0.078
2013 HUMAINE ASSOCIATION CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION ACII	1	0.078
2013 IEEE 10TH INTERNATIONAL CONFERENCE ON AND 10TH INTERNATIONAL CONFERENCE ON AUTONOMIC AND TRUSTED COMPUTING UIC ATC UBIQUITOUS INTELLIGENCE AND COMPUTING	1	0.078
2013 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR	1	0.078
2013 IEEE INTERNATIONAL CONFERENCE ON GRANULAR COMPUTING GRC	1	0.078
2013 IEEE SEVENTH INTERNATIONAL CONFERENCE ON SEMANTIC COMPUTING ICSC 2013	1	0.078
2013 IEEE THIRD JOINT INTERNATIONAL CONFERENCE ON DEVELOPMENT AND LEARNING AND EPIGENETIC ROBOTICS ICDL	1	0.078
2013 IEEE WORKSHOP ON APPLICATIONS OF COMPUTER VISION WACV	1	0.078
2013 SECOND IAPR ASIAN CONFERENCE ON PATTERN RECOGNITION ACPR 2013	1	0.078
2014 9TH INTERNATIONAL SYMPOSIUM ON CHINESE SPOKEN LANGUAGE PROCESSING ISCSLP	1	0.078
2014 IEEE 26TH INTERNATIONAL CONFERENCE ON TOOLS WITH ARTIFICIAL INTELLIGENCE ICTAI	1	0.078
2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION CEC	1	0.078
2014 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ IEEE	1	0.078
2014 IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DATA MINING CIDM	1	0.078
