Meeting Titles	records	% of 1289
IEEE 15TH INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOPS ICDMW	3	0.233
IEEE ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING ASONAM	3	0.233
IEEE CONGRESS ON EVOLUTIONARY COMPUTATION CEC HELD AS PART OF IEEE WORLD CONGRESS ON COMPUTATIONAL INTELLIGENCE IEEE WCCI	3	0.233
IEEE INTERNATIONAL CONFERENCE ON BIG DATA IEEE BIG DATA	3	0.233
IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ IEEE	3	0.233
INTERNATIONAL CONFERENCE ON BIOMETRICS ICB	3	0.233
INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND COMPUTATIONAL INTELLIGENCE CSCI	3	0.233
JOINT EUROPEAN CONFERENCE ON MACHINE LEARNING ECML EUROPEAN CONFERENCE ON PRINCIPLES AND PRACTICE OF KNOWLEDGE DISCOVERY IN DATABASES PKDD	3	0.233
10TH INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY FSKD	2	0.155
10TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS AND KNOWLEDGE ENGINEERING ISKE	2	0.155
10TH INTERNATIONAL CONFERENCE ON MACHINE VISION ICMV	2	0.155
10TH INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DESIGN ISCID	2	0.155
11TH EUROPEAN CONFERENCE ON COMPUTER VISION	2	0.155
12TH ACM CONFERENCE ON RECOMMENDER SYSTEMS RECSYS	2	0.155
12TH ASIAN CONFERENCE ON COMPUTER VISION ACCV	2	0.155
12TH INNS EANN SIG INTERNATIONAL CONFERENCE EANN 2011 7TH IFIP 12 5 INTERNATIONAL CONFERENCE AIAI 2011	2	0.155
13TH INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING ICIC	2	0.155
13TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS ICMLA	2	0.155
13TH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY ICNC FSKD	2	0.155
13TH INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS AND AMBIENT INTELLIGENCE URAI	2	0.155
13TH INTERNATIONAL WORK CONFERENCE ON ARTIFICIAL NEURAL NETWORKS IWANN	2	0.155
13TH PACIFIC RIM INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE PRICAI	2	0.155
14TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE AVSS	2	0.155
14TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING IEEE ICDM	2	0.155
14TH INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND RECOGNITION ICIAR	2	0.155
15TH INTERNATIONAL CONFERENCE ON MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION MICCAI	2	0.155
17TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING ICDMW	2	0.155
18TH IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION WACV	2	0.155
18TH INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS EANN	2	0.155
18TH INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING ICIAP	2	0.155
1ST ASIAN CONFERENCE ON PATTERN RECOGNITION ACPR	2	0.155
1ST INTERNATIONAL CONFERENCE OF THE INDONESIAN ASSOCIATION FOR PATTERN RECOGNITION INAPR	2	0.155
1ST INTERNATIONAL WORKSHOP ON MEDICAL LEARNING MEETS MEDICAL IMAGING MLMMI	2	0.155
1ST INTERNATIONAL WORKSHOP ON SIMILARITY BASED PATTERN RECOGNITION SIMBAD	2	0.155
21ST INTERNATIONAL CONFERENCE ON NEURAL INFORMATION PROCESSING ICONIP	2	0.155
21ST INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION ICPR	2	0.155
21ST INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE IJCAI 09	2	0.155
