Authors	records	% of 1289
CHEN MS	1	0.078
CHEN N	1	0.078
CHEN SF	1	0.078
CHEN ST	1	0.078
CHEN T	1	0.078
CHEN TJ	1	0.078
CHEN W	1	0.078
CHEN WH	1	0.078
CHEN WY	1	0.078
CHEN XQ	1	0.078
CHEN YS	1	0.078
CHEN ZY	1	0.078
CHENG J	1	0.078
CHENG JA	1	0.078
CHENG L	1	0.078
CHENG Q	1	0.078
CHENG XJ	1	0.078
CHENG Y	1	0.078
CHEVALEYRE Y	1	0.078
CHEVALLIER L	1	0.078
CHIANG LH	1	0.078
CHNG ES	1	0.078
CHO D	1	0.078
CHO SB	1	0.078
CHOE J	1	0.078
CHOI D	1	0.078
CHOI H	1	0.078
CHOI J	1	0.078
CHOI JY	1	0.078
CHOI S	1	0.078
CHOWDHURY J	1	0.078
CHRISTEN P	1	0.078
CHRISTMAS W	1	0.078
CHRISTODOULOU C	1	0.078
CHU TH	1	0.078
CHU W	1	0.078
CHUANG CH	1	0.078
CHUGH T	1	0.078
CHUGHTAI S	1	0.078
CHUNG ML	1	0.078
CILIBERTO C	1	0.078
CIPOLLA R	1	0.078
CIRESAN DC	1	0.078
CISEK D	1	0.078
CLARK JJ	1	0.078
CLARKE S	1	0.078
CLEMENS MG	1	0.078
CLIFFORD GD	1	0.078
COHEN WW	1	0.078
COLBURN A	1	0.078
COLEGROVE B	1	0.078
COMBINIDO JS	1	0.078
COMERT Z	1	0.078
CONDORI RHM	1	0.078
COOK D	1	0.078
COOK G	1	0.078
CORD M	1	0.078
CORKE P	1	0.078
CORNUEJOLS A	1	0.078
CORRUBLE V	1	0.078
CORTES U	1	0.078
COTE-ALLARD U	1	0.078
COURTY N	1	0.078
COUTINHO E	1	0.078
COZMAN FG	1	0.078
CSATO L	1	0.078
CSURKA G	1	0.078
CUI Y	1	0.078
CUMMINS N	1	0.078
CZARNECKI WM	1	0.078
DA BS	1	0.078
DA COSTA GBP	1	0.078
DA SILVA BC	1	0.078
DA SILVA IJ	1	0.078
DA SILVA VF	1	0.078
DAEE P	1	0.078
DAHMANE M	1	0.078
DAI DQ	1	0.078
DAI MJ	1	0.078
DAI P	1	0.078
DAI XY	1	0.078
DALAL R	1	0.078
DALE J	1	0.078
DALESSANDRO B	1	0.078
DAMBRE J	1	0.078
DANG YZ	1	0.078
DARAGHMI E	1	0.078
DARAGHMI YA	1	0.078
DAULTON S	1	0.078
DAVIDSON I	1	0.078
DAVIS B	1	0.078
DAVIS LS	1	0.078
DAYAN A	1	0.078
DE BRUIN T	1	0.078
DE GEUS P	1	0.078
DE MELLO RF	1	0.078
DE MELLO S	1	0.078
DEAN D	1	0.078
DEBNATH S	1	0.078
DEGRAVE J	1	0.078
DEL BUE A	1	0.078
DELAS PENAS K	1	0.078
DELHAISSE B	1	0.078
DEMIR B	1	0.078
DENG HF	1	0.078
DENG Q	1	0.078
DENG WY	1	0.078
DENG YB	1	0.078
DENGEL A	1	0.078
DEROSIERE G	1	0.078
DESELAERS T	1	0.078
DEVLIN J	1	0.078
DHAMDHERE R	1	0.078
DHIRAJ	1	0.078
DHULEKAR N	1	0.078
DHUNGEL N	1	0.078
DI SM	1	0.078
DIASSE A	1	0.078
DIBIANO R	1	0.078
DIDI S	1	0.078
DIETTERICH T	1	0.078
DIMITRIADIS D	1	0.078
DING C	1	0.078
DING YH	1	0.078
DINH TTH	1	0.078
DODGE S	1	0.078
DOLLAR P	1	0.078
DOMINGUEZ M	1	0.078
DONG B	1	0.078
DONG C	1	0.078
DONG JY	1	0.078
DONG LL	1	0.078
DONG M	1	0.078
DONG MH	1	0.078
DONG Q	1	0.078
DONG SJ	1	0.078
DONG W	1	0.078
DONG Y	1	0.078
DONMEZ P	1	0.078
DORETTO G	1	0.078
DORNAIKA F	1	0.078
DOS SANTOS JA	1	0.078
DOSE H	1	0.078
DOSHI-VELEZ F	1	0.078
DOU Q	1	0.078
DOYA K	1	0.078
DREDZE M	1	0.078
DRIESSENS K	1	0.078
DU BW	1	0.078
DU CY	1	0.078
DU J	1	0.078
DU JC	1	0.078
DU SS	1	0.078
DU XF	1	0.078
DUAN GQ	1	0.078
DUAN LH	1	0.078
DUAN Z	1	0.078
DUARTE-RAMOS H	1	0.078
DUARTERAMOS H	1	0.078
DUBOIS J	1	0.078
DUCKETI T	1	0.078
DUENSER A	1	0.078
DUPONT P	1	0.078
DUSPARIC I	1	0.078
EDUARDO A	1	0.078
EFROS AA	1	0.078
EIGEN D	1	0.078
EKICI S	1	0.078
EL-YANIV R	1	0.078
ELAZAB A	1	0.078
ELEZI I	1	0.078
ELGIBREEN H	1	0.078
ELHADJI-ILLE-GADO N	1	0.078
ELHATRI C	1	0.078
ELLE OJ	1	0.078
ENE AD	1	0.078
ESCALERA S	1	0.078
ESLAMI M	1	0.078
ESTEBAN D	1	0.078
ESTEVES T	1	0.078
EUN Y	1	0.078
EUSEBIO J	1	0.078
FABBRI A	1	0.078
FAIGIN G	1	0.078
FAISAL A	1	0.078
FAJTL J	1	0.078
FALCAO AX	1	0.078
FALL CL	1	0.078
FAN C	1	0.078
FAN H	1	0.078
FAN WG	1	0.078
FAN XH	1	0.078
FAN ZG	1	0.078
FANANY MI	1	0.078
FANG WC	1	0.078
FANG XZ	1	0.078
FANG Y	1	0.078
FANG Z	1	0.078
FANIAN A	1	0.078
FARAZI M	1	0.078
FARIA DR	1	0.078
FARIAS FC	1	0.078
FARINELLA GM	1	0.078
FAROOQ A	1	0.078
FARRUGIA N	1	0.078
FARSHIDIAN F	1	0.078
FARSI H	1	0.078
FATHY M	1	0.078
FAVARO P	1	0.078
FAYEK HM	1	0.078
FAYYAZ M	1	0.078
FEI ZH	1	0.078
FEI-FEI L	1	0.078
FELIX C	1	0.078
FENG BQ	1	0.078
FENG JS	1	0.078
FENG WJ	1	0.078
FENG XY	1	0.078
FENG YL	1	0.078
FENTON N	1	0.078
FERGUSON K	1	0.078
FERIS RS	1	0.078
FERNAANDEZ I	1	0.078
FERNANDES J	1	0.078
FERNANDEZ I	1	0.078
FERNANDEZ-GAUNA B	1	0.078
FERSINI E	1	0.078
FIEDLER LJ	1	0.078
FIELD R	1	0.078
FIGUEIREDO F	1	0.078
FINKELSHTEIN A	1	0.078
FLAMARY R	1	0.078
FLAXMAN S	1	0.078
FLEET D	1	0.078
FLEET DJ	1	0.078
FLORES E	1	0.078
FOLKESSON J	1	0.078
FONSECA P	1	0.078
FONTINELE J	1	0.078
FOOKES C	1	0.078
FORBUS K	1	0.078
FORBUS KD	1	0.078
FORTINO G	1	0.078
FOUCHER S	1	0.078
FOULADI K	1	0.078
FRANCIS BA	1	0.078
FRASER M	1	0.078
FRAZAO X	1	0.078
FRED A	1	0.078
FREIFELD O	1	0.078
FREIRE LC	1	0.078
FREYNE J	1	0.078
FROMMBERGER L	1	0.078
FRYDA T	1	0.078
FU CM	1	0.078
FU LC	1	0.078
FU MD	1	0.078
FU XL	1	0.078
FUA P	1	0.078
FUENTED O	1	0.078
FUENTES O	1	0.078
FUJINO A	1	0.078
FUKUMOTO F	1	0.078
FURNARI A	1	0.078
FURUHATA A	1	0.078
FURUTANI H	1	0.078
FUSCO R	1	0.078
GADA S	1	0.078
GAIZAUSKAS R	1	0.078
GALANTI T	1	0.078
GALITSKY BA	1	0.078
GALLEGO AJ	1	0.078
GALLEGO G	1	0.078
GALVAN-LOPEZ E	1	0.078
GAMS M	1	0.078
GAN CQ	1	0.078
GAN HT	1	0.078
GANDARIAS JM	1	0.078
GAO BJ	1	0.078
GAO BY	1	0.078
GAO C	1	0.078
GAO F	1	0.078
GAO H	1	0.078
GAO HC	1	0.078
GAO JB	1	0.078
GAO S	1	0.078
GAO T	1	0.078
GAO X	1	0.078
GAO XB	1	0.078
GAO XW	1	0.078
GAO Y	1	0.078
GAO YX	1	0.078
GARANT D	1	0.078
GARCEZ AD	1	0.078
GARCIA N	1	0.078
GARCIA-CEREZO AJ	1	0.078
GARCIA-GASULLA D	1	0.078
GARECZ AD	1	0.078
GARRETT D	1	0.078
GATENBY RA	1	0.078
GAVVES E	1	0.078
GAZZAH S	1	0.078
GAZZAHA S	1	0.078
GE L	1	0.078
GE WD	1	0.078
GE WF	1	0.078
GE ZY	1	0.078
GEFFNER H	1	0.078
GENC O	1	0.078
GENC Y	1	0.078
GENG QC	1	0.078
GENTRIC S	1	0.078
GERIG G	1	0.078
GEURTS P	1	0.078
GEYER P	1	0.078
GHAHREMANI P	1	0.078
GHAZI MM	1	0.078
GHOLAMHOSSEINI H	1	0.078
GHOSHAL A	1	0.078
GIANNAKOPOULOS T	1	0.078
GIANNOULIS G	1	0.078
GIDEON J	1	0.078
GIENGER M	1	0.078
GILLBERG J	1	0.078
GINHAC D	1	0.078
GIRSCHICK T	1	0.078
GJORESKI H	1	0.078
GJORESKI M	1	0.078
GLANDON A	1	0.078
GLASER C	1	0.078
GLASS J	1	0.078
GLETTE K	1	0.078
GLOROT X	1	0.078
GOEDDEL R	1	0.078
GOERICK C	1	0.078
GOH CK	1	0.078
GOH GB	1	0.078
GOH H	1	0.078
GOH RSM	1	0.078
GOH SYM	1	0.078
GOI BM	1	0.078
GOLDGOF DB	1	0.078
GOLOVIN D	1	0.078
GOMES JPP	1	0.078
GOMEZ-DE-GABRIEL JM	1	0.078
GOMEZ-RIOS A	1	0.078
GONG D	1	0.078
GONG P	1	0.078
GONSALVES T	1	0.078
GONZALEZ D	1	0.078
GONZALEZ FA	1	0.078
GOODMAN A	1	0.078
GOPAKUMAR G	1	0.078
GORDON S	1	0.078
GORJI S	1	0.078
GOROSHIN R	1	0.078
GORTHI SS	1	0.078
GOSSELIN B	1	0.078
GOSSELIN C	1	0.078
GOTWAY M	1	0.078
GOUIAA R	1	0.078
GOUSSIES NA	1	0.078
GOVIND M	1	0.078
GOYAL M	1	0.078
GRABNER H	1	0.078
GRALL-MAES E	1	0.078
GRANA M	1	0.078
GRAUMAN K	1	0.078
GRAVINA R	1	0.078
GREENEY H	1	0.078
GRIGORE EC	1	0.078
GRIMES M	1	0.078
GRIPON V	1	0.078
GROGONO P	1	0.078
GROSSE-WENTRUP M	1	0.078
GRUBINGER T	1	0.078
GRUNDSTROM J	1	0.078
GU P	1	0.078
GU Q	1	0.078
GU XQ	1	0.078
GU ZH	1	0.078
GUAN S	1	0.078
GUAN ZD	1	0.078
GUERRERO R	1	0.078
GUIBAS L	1	0.078
GUICHI Y	1	0.078
GUL G	1	0.078
GUNAWAN H	1	0.078
GUO J	1	0.078
GUO L	1	0.078
GUO P	1	0.078
GUO Q	1	0.078
GUO X	1	0.078
GUO YH	1	0.078
GUPTA B	1	0.078
GUPTA D	1	0.078
GUPTA R	1	0.078
GUPTA U	1	0.078
GURPINAR F	1	0.078
GURUDU S	1	0.078
GUY TV	1	0.078
HA JW	1	0.078
HAASE D	1	0.078
HABIB Z	1	0.078
HABIBI G	1	0.078
HABIBZADEH M	1	0.078
HACENE GB	1	0.078
HACHIYA H	1	0.078
HADFIELD S	1	0.078
HADIAN H	1	0.078
HADSELL R	1	0.078
HAGA T	1	0.078
HAGERTY J	1	0.078
HAHN C	1	0.078
HAHNE J	1	0.078
HAIN T	1	0.078
HAIRSTON WD	1	0.078
HAJINOROOZI M	1	0.078
HAKKANI-TUR D	1	0.078
HALL LO	1	0.078
HAMEY L	1	0.078
HAN B	1	0.078
HAN DM	1	0.078
HAN G	1	0.078
HAN JG	1	0.078
HAN JZ	1	0.078
HAN L	1	0.078
HAN T	1	0.078
HAN X	1	0.078
HAN XB	1	0.078
HAN XY	1	0.078
HAN ZY	1	0.078
HANAOKA S	1	0.078
HAO BB	1	0.078
HAO HW	1	0.078
HAO SJ	1	0.078
HAO TY	1	0.078
HAO YX	1	0.078
HAQUE ME	1	0.078
HAREL M	1	0.078
HARIHARAN B	1	0.078
HARWATH D	1	0.078
HASAN AN	1	0.078
HASEGAWA O	1	0.078
HASLAM E	1	0.078
HASSAN M	1	0.078
HASSAN YF	1	0.078
HASSNER T	1	0.078
HATTORI Y	1	0.078
HAUBERG S	1	0.078
HAUSKNECHT M	1	0.078
HAYASHI T	1	0.078
HE F	1	0.078
HE J	1	0.078
HE JP	1	0.078
HE JR	1	0.078
HE M	1	0.078
HE XD	1	0.078
HE XY	1	0.078
HE Y	1	0.078
HE YW	1	0.078
HECK L	1	0.078
HEDJAZI MA	1	0.078
HEESS N	1	0.078
HEIDE F	1	0.078
HEIDRICH W	1	0.078
HEIKKILA J	1	0.078
HEIMANN T	1	0.078
HELLEPUTTE T	1	0.078
HELWA MK	1	0.078
HENDRICKS LA	1	0.078
HENG PA	1	0.078
HEQUET E	1	0.078
HERMAN M	1	0.078
HERNANDEZ M	1	0.078
HERNANDEZ-LEAL P	1	0.078
HERPSON C	1	0.078
HERRERA F	1	0.078
HERRERO E	1	0.078
HERYADI Y	1	0.078
HESKES T	1	0.078
HETTIARACHCHI IT	1	0.078
HEUTTE L	1	0.078
HIGASHIKUBO M	1	0.078
HINDRIKS KV	1	0.078
HINO H	1	0.078
HINRICHS TR	1	0.078
HIRSCH M	1	0.078
HO D	1	0.078
HO QR	1	0.078
HO-SHON K	1	0.078
HOANG ND	1	0.078
HODAS N	1	0.078
HOFFINEISTER B	1	0.078
HOI SCH	1	0.078
HOLLIDAY A	1	0.078
HONDA K	1	0.078
HONG QY	1	0.078
HONG X	1	0.078
HONG XP	1	0.078
HONG YX	1	0.078
HONG ZJ	1	0.078
HORAUD R	1	0.078
HOSPEDALES T	1	0.078
HOSSEINZADEH H	1	0.078
HOU DY	1	0.078
HOU XW	1	0.078
HOU YQ	1	0.078
HOW JP	1	0.078
HOWARD A	1	0.078
HOWARD M	1	0.078
HSIAO PH	1	0.078
HSIEH G	1	0.078
HSU CT	1	0.078
HSU L	1	0.078
HSU TMH	1	0.078
HTIKE KK	1	0.078
HU A	1	0.078
HU DH	1	0.078
HU F	1	0.078
HU H	1	0.078
HU HF	1	0.078
HU HW	1	0.078
HU HX	1	0.078
HU J	1	0.078
HU JN	1	0.078
HU JX	1	0.078
HU K	1	0.078
HU LZ	1	0.078
HU MQ	1	0.078
HU SF	1	0.078
HU WJ	1	0.078
HU X	1	0.078
HU XH	1	0.078
HUA J	1	0.078
HUA JH	1	0.078
HUAN RZ	1	0.078
HUANG AQ	1	0.078
HUANG C	1	0.078
HUANG CH	1	0.078
HUANG D	1	0.078
HUANG DY	1	0.078
HUANG J	1	0.078
HUANG JH	1	0.078
HUANG JZ	1	0.078
HUANG KK	1	0.078
HUANG KQ	1	0.078
HUANG KZ	1	0.078
HUANG L	1	0.078
HUANG LH	1	0.078
HUANG MX	1	0.078
HUANG MY	1	0.078
HUANG PW	1	0.078
HUANG QX	1	0.078
HUANG RH	1	0.078
HUANG SH	1	0.078
HUANG SS	1	0.078
HUANG SX	1	0.078
HUANG TW	1	0.078
HUANG XY	1	0.078
HUANG Y	1	0.078
HUANG YF	1	0.078
HUANG YY	1	0.078
HUBER M	1	0.078
HUDELOT C	1	0.078
HUSSAIN M	1	0.078
HUSSAIN SF	1	0.078
HUTTER A	1	0.078
HWANG KB	1	0.078
IDE H	1	0.078
IDE S	1	0.078
IFTEKHARUDDIN KM	1	0.078
IGLESIAS R	1	0.078
IGLOVIKOV V	1	0.078
IIDA H	1	0.078
ILIC S	1	0.078
INAYOSHI H	1	0.078
INDYK W	1	0.078
IOANNOU I	1	0.078
IONASEC R	1	0.078
IRIMIA A	1	0.078
ISIN A	1	0.078
ISLAM K	1	0.078
ISOLA P	1	0.078
IUZZOLINO ML	1	0.078
IVERSEN HK	1	0.078
IWANA BK	1	0.078
JADER G	1	0.078
JAIN C	1	0.078
JAIN DK	1	0.078
JAIN S	1	0.078
JANG T	1	0.078
JANGYODSUK P	1	0.078
JANNESARI M	1	0.078
JARADAT S	1	0.078
JAYARAM V	1	0.078
JAYASHREE K	1	0.078
JENSFELT P	1	0.078
JEON S	1	0.078
JEONG G	1	0.078
JEONG H	1	0.078
JEZEQUEL M	1	0.078
JHA P	1	0.078
JHA SK	1	0.078
JI H	1	0.078
JI K	1	0.078
JI Q	1	0.078
JIA J	1	0.078
JIA JY	1	0.078
JIA KG	1	0.078
JIAN YH	1	0.078
JIANG F	1	0.078
JIANG HJ	1	0.078
JIANG J	1	0.078
JIANG JM	1	0.078
JIANG L	1	0.078
JIANG Q	1	0.078
JIANG SY	1	0.078
JIANG WH	1	0.078
JIANG X	1	0.078
JIANG XL	1	0.078
JIANG YG	1	0.078
JIANG YM	1	0.078
JIANG ZL	1	0.078
JIAO BL	1	0.078
JIAO F	1	0.078
JIE BA	1	0.078
JIE L	1	0.078
JIN M	1	0.078
JIN Q	1	0.078
JIN ZM	1	0.078
JING H	1	0.078
JING XJ	1	0.078
JO KH	1	0.078
JOARISTI M	1	0.078
JOHN M	1	0.078
JOHNSON K	1	0.078
JOO D	1	0.078
JORDAN MI	1	0.078
JORGE A	1	0.078
JOSHI MV	1	0.078
JOSHI S	1	0.078
JUN J	1	0.078
JUNIOR A	1	0.078
KABOLI M	1	0.078
KADREV G	1	0.078
KALE D	1	0.078
KALMADY KS	1	0.078
KALPATHI RR	1	0.078
KALRA S	1	0.078
KAMATH AS	1	0.078
KAMIMURA A	1	0.078
KAN MN	1	0.078
KANAMORI T	1	0.078
KANCHAN K	1	0.078
KANG BN	1	0.078
KANG SY	1	0.078
KANHABUA N	1	0.078
KANJI T	1	0.078
KANKANIGE Y	1	0.078
KANKUEKUL P	1	0.078
KANNALA J	1	0.078
KARAM L	1	0.078
KARANDE S	1	0.078
KARATSALOS C	1	0.078
KARIMI S	1	0.078
KARKI M	1	0.078
KARNY M	1	0.078
KARRO J	1	0.078
KASHIMA H	1	0.078
KATAOKA D	1	0.078
KATZIR Z	1	0.078
KAUP A	1	0.078
KAUTZ J	1	0.078
KAWEWONG A	1	0.078
KAYA H	1	0.078
KAZUNORI I	1	0.078
KE LW	1	0.078
KE W	1	0.078
KENDALL A	1	0.078
KENNEDY G	1	0.078
KERBOUA A	1	0.078
KHADEMI M	1	0.078
KHALIGHI S	1	0.078
KHAN FS	1	0.078
KHAN SD	1	0.078
KHANNA P	1	0.078
KHAPRA MM	1	0.078
KHARE A	1	0.078
KHAROUF M	1	0.078
KHATAMI A	1	0.078
KHODABAKHSHI MB	1	0.078
KHORRAM S	1	0.078
KHOSHKOFTAAR TM	1	0.078
KHOT T	1	0.078
KIDO S	1	0.078
KIEFFER B	1	0.078
KILLIAN T	1	0.078
KIM B	1	0.078
KIM DJ	1	0.078
KIM HY	1	0.078
KIM JH	1	0.078
KIM KI	1	0.078
KIM S	1	0.078
KIM W	1	0.078
KIM Y	1	0.078
KIM YB	1	0.078
KIM YD	1	0.078
KIMURA A	1	0.078
KINDERMANS PJ	1	0.078
KINOSHITA K	1	0.078
KIRA Z	1	0.078
KIRKPATRICK J	1	0.078
KIT D	1	0.078
KITA H	1	0.078
KITAZONO J	1	0.078
KIZRAK MA	1	0.078
KJELLSTROM H	1	0.078
KLANKE S	1	0.078
KLEIN B	1	0.078
KLOFT M	1	0.078
KLOSS RB	1	0.078
KOBER J	1	0.078
KOCAMAZ AF	1	0.078
KOCHANSKI G	1	0.078
KODIROV E	1	0.078
KOEDINGER KR	1	0.078
KOGA ML	1	0.078
KOHLI M	1	0.078
KOHLI N	1	0.078
KOHLI P	1	0.078
KOLLER D	1	0.078
KOLLER O	1	0.078
KOLLIAS D	1	0.078
KONIDARIS G	1	0.078
KONIK T	1	0.078
KONJEVOD G	1	0.078
KONO H	1	0.078
KOO G	1	0.078
KOPICKI M	1	0.078
KOR D	1	0.078
KOSIR A	1	0.078
KOSTADINOV G	1	0.078
KOU L	1	0.078
KOURBANE I	1	0.078
KOUSHIK AM	1	0.078
KOUSHIK J	1	0.078
KOUW WM	1	0.078
KOZERAWSKI J	1	0.078
KRAMER S	1	0.078
KRATZWALD B	1	0.078
KRAUS S	1	0.078
KRAWCZYK B	1	0.078
KREIDIEH AR	1	0.078
KRIJTHE JH	1	0.078
KRISHNAKUMARI P	1	0.078
KROEGER T	1	0.078
KROMER O	1	0.078
KUANG R	1	0.078
KUANG W	1	0.078
KUBOTA N	1	0.078
KUHN N	1	0.078
KULKARNI K	1	0.078
KULKARNI M	1	0.078
KULKARNI P	1	0.078
KUMAGAI A	1	0.078
KUMAGAI W	1	0.078
KUMAR C	1	0.078
KUMAR D	1	0.078
KUMAR P	1	0.078
KUMARASWAMY R	1	0.078
KUMARI M	1	0.078
KUNO Y	1	0.078
KURIHARA M	1	0.078
KWASNIEWSKA A	1	0.078
KWOK JT	1	0.078
LA L	1	0.078
LABARTA J	1	0.078
LABIOD L	1	0.078
LAI ZR	1	0.078
LAKSANA E	1	0.078
LAKSHMANAN B	1	0.078
LAM KM	1	0.078
LAN ZR	1	0.078
LANCE B	1	0.078
LANDWEHR N	1	0.078
LANFEAR DE	1	0.078
LANGENSIEPEN C	1	0.078
LANGLEY P	1	0.078
LANZI PL	1	0.078
LAROCA R	1	0.078
LAROCHELLE H	1	0.078
LARTIZIEN C	1	0.078
LATHUILIERE S	1	0.078
LAU N	1	0.078
LAU RYK	1	0.078
LAURMAA J	1	0.078
LAVIOLETTE F	1	0.078
LAWHERN V	1	0.078
LE BORGNE H	1	0.078
LE L	1	0.078
LE N	1	0.078
LEAKE D	1	0.078
LEBANON G	1	0.078
LECH M	1	0.078
LECUN Y	1	0.078
LEDIG C	1	0.078
LEE G	1	0.078
LEE H	1	0.078
LEE K	1	0.078
LEE KH	1	0.078
LEE M	1	0.078
LEE SJ	1	0.078
LEE SL	1	0.078
LEE SW	1	0.078
LEE WS	1	0.078
LEE YJ	1	0.078
LEHAIRE J	1	0.078
LEHMANN J	1	0.078
LEI BY	1	0.078
LEI HJ	1	0.078
LEIDAL K	1	0.078
LEITE LGM	1	0.078
LEONG HV	1	0.078
LEONG TY	1	0.078
LESSER V	1	0.078
LEV G	1	0.078
LEVCHUK G	1	0.078
LEVY D	1	0.078
LEYVA M	1	0.078
LI BJ	1	0.078
LI BY	1	0.078
LI CL	1	0.078
LI CR	1	0.078
LI CT	1	0.078
LI D	1	0.078
LI DS	1	0.078
LI DY	1	0.078
LI F	1	0.078
LI FZ	1	0.078
LI GR	1	0.078
LI H	1	0.078
LI JB	1	0.078
LI JS	1	0.078
LI JT	1	0.078
LI JZ	1	0.078
LI LS	1	0.078
LI M	1	0.078
LI ML	1	0.078
LI N	1	0.078
LI P	1	0.078
LI QY	1	0.078
LI SX	1	0.078
LI WF	1	0.078
LI WT	1	0.078
LI WZ	1	0.078
LI YJ	1	0.078
LI YP	1	0.078
LI YY	1	0.078
LI ZB	1	0.078
LI ZJ	1	0.078
LI ZL	1	0.078
LI ZR	1	0.078
LI ZY	1	0.078
LIAN SG	1	0.078
LIANG AC	1	0.078
LIANG FD	1	0.078
LIANG JM	1	0.078
LIANG RZ	1	0.078
LIANG W	1	0.078
LIANG XL	1	0.078
LIANG Z	1	0.078
LIAO YB	1	0.078
LIAWATIMENA S	1	0.078
LIEBMAN E	1	0.078
LIM BP	1	0.078
LIM J	1	0.078
LIM JH	1	0.078
LIMA FDS	1	0.078
LIN CH	1	0.078
LIN CY	1	0.078
LIN D	1	0.078
LIN GS	1	0.078
LIN LF	1	0.078
LIN M	1	0.078
LIN ML	1	0.078
LIN TM	1	0.078
LIN WS	1	0.078
LIN YL	1	0.078
LIN YP	1	0.078
LIN YQ	1	0.078
LIN YW	1	0.078
LING C	1	0.078
LING HB	1	0.078
LINGURARU MG	1	0.078
LINK H	1	0.078
LITOIU A	1	0.078
LIU AA	1	0.078
LIU AS	1	0.078
LIU BL	1	0.078
LIU C	1	0.078
LIU CF	1	0.078
LIU CW	1	0.078
LIU DB	1	0.078
LIU DH	1	0.078
LIU DL	1	0.078
LIU DQ	1	0.078
LIU GN	1	0.078
LIU HM	1	0.078
LIU HX	1	0.078
LIU JF	1	0.078
LIU JH	1	0.078
LIU JJ	1	0.078
LIU JX	1	0.078
LIU LJ	1	0.078
LIU LP	1	0.078
LIU MS	1	0.078
LIU NN	1	0.078
LIU PL	1	0.078
LIU PP	1	0.078
LIU QG	1	0.078
LIU QY	1	0.078
LIU R	1	0.078
LIU RH	1	0.078
LIU SH	1	0.078
LIU SL	1	0.078
LIU SP	1	0.078
LIU WF	1	0.078
LIU WH	1	0.078
LIU WQ	1	0.078
LIU WX	1	0.078
LIU XH	1	0.078
LIU XJ	1	0.078
LIU XP	1	0.078
LIU YJ	1	0.078
LIU YL	1	0.078
LIU YN	1	0.078
LIU ZD	1	0.078
LIU ZT	1	0.078
LIU ZW	1	0.078
LIVNE M	1	0.078
LIZARRAGA C	1	0.078
LJUNGQVIST MG	1	0.078
LO HY	1	0.078
LOEW M	1	0.078
LOHANI QMD	1	0.078
LOIACONO D	1	0.078
LOO CK	1	0.078
LOOG M	1	0.078
LOPES M	1	0.078
LOPEZ AM	1	0.078
LOPEZ-GUEDE JM	1	0.078
LOQUERCIO A	1	0.078
LORENZO JO	1	0.078
LOTFI A	1	0.078
LOTUFO R	1	0.078
LOZANO M	1	0.078
LU B	1	0.078
LU GY	1	0.078
LU HQ	1	0.078
LU HY	1	0.078
LU JH	1	0.078
LU K	1	0.078
LU P	1	0.078
LU TC	1	0.078
LU W	1	0.078
LU Y	1	0.078
LU YJ	1	0.078
LU YM	1	0.078
LU YS	1	0.078
LU ZY	1	0.078
LUCENA O	1	0.078
LUENGO J	1	0.078
LUIS R	1	0.078
LUKAS	1	0.078
LUKOWICZ P	1	0.078
LUO JB	1	0.078
LUO JH	1	0.078
LUO QY	1	0.078
LUO RH	1	0.078
LUO TY	1	0.078
LUO ZL	1	0.078
LUO ZM	1	0.078
LUSTREK M	1	0.078
LUTTRELL J	1	0.078
LUZ PHD	1	0.078
LV GR	1	0.078
LV JM	1	0.078
LV Q	1	0.078
LV WF	1	0.078
LV ZJ	1	0.078
LYU XZ	1	0.078
MA CX	1	0.078
MA J	1	0.078
MA JJ	1	0.078
MA JX	1	0.078
MA WL	1	0.078
MA YX	1	0.078
MA ZG	1	0.078
MAAMATOU H	1	0.078
MACHADO JC	1	0.078
MADAPANA N	1	0.078
MADDE N	1	0.078
MAGEE D	1	0.078
MAGOULAS GD	1	0.078
MAHADEVAN S	1	0.078
MAHAJAN M	1	0.078
MAHDAVI E	1	0.078
MAHONEY AR	1	0.078
MAKI A	1	0.078
MALLI B	1	0.078
MANDAL SMA	1	0.078
MANDAVA R	1	0.078
MANESSI F	1	0.078
MANNOR S	1	0.078
MAO JH	1	0.078
MAO WT	1	0.078
MAO XF	1	0.078
MAO ZJ	1	0.078
MAQUEDA AI	1	0.078
MARCACINI RM	1	0.078
MARCHESINI G	1	0.078
MARCHI E	1	0.078
MARCONCINI M	1	0.078
MAREE R	1	0.078
MARKOV K	1	0.078
MARKOWSKA-KACZMAR U	1	0.078
MARRA F	1	0.078
MARRONE S	1	0.078
MARTINEZ B	1	0.078
MARTINEZ L	1	0.078
MARTINEZ M	1	0.078
MARTINEZ T	1	0.078
MARTINEZ TR	1	0.078
MARTINEZ-GIL F	1	0.078
MASI I	1	0.078
MASITA KL	1	0.078
MASSE B	1	0.078
MASUTANI Y	1	0.078
MATHEW A	1	0.078
MATHEW J	1	0.078
MATSUI T	1	0.078
MATSUNO IP	1	0.078
MATSUURA JP	1	0.078
MAXHUNI A	1	0.078
MAYBANK S	1	0.078
MAYORA O	1	0.078
MCCOOL C	1	0.078
MCLOUGHLIN I	1	0.078
MCQUIN C	1	0.078
MEHTA D	1	0.078
MEHTA N	1	0.078
MEHTA V	1	0.078
MEI G	1	0.078
MEI T	1	0.078
MEIER U	1	0.078
MEJAIL M	1	0.078
MELEKHOV I	1	0.078
MENDOZA JR	1	0.078
MENDOZA-SCHROCK O	1	0.078
