Authors	records	% of 1289
VALIGI P	3	0.233
VAN OPBROEK A	3	0.233
VASCONCELOS N	3	0.233
VATSA M	3	0.233
VERSCHEURE O	3	0.233
VIARD-GAUDIN C	3	0.233
VITALADEVUNI S	3	0.233
WANG JJY	3	0.233
WANG SJ	3	0.233
WANG XS	3	0.233
WANG Y	3	0.233
WANG YCF	3	0.233
WANG YW	3	0.233
WANG Z	3	0.233
WERGHI N	3	0.233
XIANG EW	3	0.233
XIAO YS	3	0.233
XIONG H	3	0.233
XIONG L	3	0.233
XIONG Z	3	0.233
XU CF	3	0.233
XU D	3	0.233
XU W	3	0.233
XU Y	3	0.233
XU YH	3	0.233
XU ZJ	3	0.233
XUE S	3	0.233
YAMASHITA T	3	0.233
YAMAUCHI Y	3	0.233
YAN SC	3	0.233
YANG P	3	0.233
YANG SZ	3	0.233
YEUNG DY	3	0.233
YIN J	3	0.233
ZANLORENSI LA	3	0.233
ZHANG C	3	0.233
ZHANG CJ	3	0.233
ZHANG CS	3	0.233
ZHANG DQ	3	0.233
ZHANG HX	3	0.233
ZHONG EH	3	0.233
ZHOU J	3	0.233
ZHOU Y	3	0.233
ZHU F	3	0.233
ZHU XQ	3	0.233
ZUO WM	3	0.233
AFRIDI MJ	2	0.155
AGHDAM HH	2	0.155
AL-HALAH Z	2	0.155
AMARAL T	2	0.155
AMIRI M	2	0.155
ARGYRIOU V	2	0.155
ARRIETA AG	2	0.155
ARSLAN A	2	0.155
ATHITSOS V	2	0.155
AUGUSTYNIAK L	2	0.155
BABAIE M	2	0.155
BABUSKA R	2	0.155
BAILEY J	2	0.155
BARTUSIAK R	2	0.155
BEAUSEROY P	2	0.155
BELLEMARE MG	2	0.155
BEN AMARA NE	2	0.155
BEN SAID L	2	0.155
BHATT HS	2	0.155
BIRLUTIU A	2	0.155
BOWLING M	2	0.155
BRAHNAM S	2	0.155
BRAUSE R	2	0.155
BRAVO-MARQUEZ F	2	0.155
BRUZZONE L	2	0.155
BYRNE J	2	0.155
CAO B	2	0.155
CAVALLARO A	2	0.155
CERNY J	2	0.155
CHAABANI A	2	0.155
CHAI TY	2	0.155
CHALMERS E	2	0.155
CHATEAU T	2	0.155
CHAUDHURY S	2	0.155
CHEN C	2	0.155
CHEN F	2	0.155
CHEN H	2	0.155
CHEN JC	2	0.155
CHEN M	2	0.155
CHEN Q	2	0.155
CHEN S	2	0.155
CHEN SX	2	0.155
CHEN X	2	0.155
CHEN XY	2	0.155
CHEN Y	2	0.155
CHEN YF	2	0.155
CHEN YP	2	0.155
CHENG B	2	0.155
CHENG XH	2	0.155
CHOU BH	2	0.155
CHU Y	2	0.155
CIARFUGLIA TA	2	0.155
COITO FV	2	0.155
CONTRERAS EB	2	0.155
CORCHADO JM	2	0.155
CROSSWHITE N	2	0.155
CUI Z	2	0.155
DAI DX	2	0.155
DAI LR	2	0.155
DAI Q	2	0.155
